id,lab,image,question,answer1,answer2,answer3,answer4,answer5,answer6,answer7,answer8,answer9,answer10
pqADT,lab9,,<strong>Heap sort<\/strong> is a variable of <em>PQ-sort<\/em> where the priority queue is which data structure?,C|heap,ordered list,search tree,hash table,unordered list,,,,,
heap,lab9,,Priority queues are most efficiently implemented as what data structure?,C|array-based heap,list,search tree,hash table,link-based heap,,,,,
heap,lab9,,Heaps are <em>always<\/em>:,C|complete,proper,perfect,binary search trees,,,,,,
heap,lab9,heapInsert,"Where would the new node with the key \""goat\"" be inserted <em>initially<\/em> (before performing any upHeaps)?",C|7,1,2,3,4,5,6,,,
heap,lab9,heapDelete,How many <em>swaps<\/em> (including the initial swap to replace the removed key) are performed during <code>heap.deleteMin()<\/code>?,C|3,1,2,4,5,,,,,
heap,lab9,,The <strong>worst-case<\/strong> height of a heap is ___.,C|O(log n),O(n),O(1),O(n log n),O(n<sup>2<\/sup>),,,,,
pqReview,lab9,,The performance of heap operations is controlled by what property?,C|the height of the heap,whether the heap is a minheap or maxheap,the number of nodes in the lowest level of the tree,the type of array used,,,,,,
pqReview,lab9,,"If a <em>binary search tree<\/em> were used to implement the priority queue abstract data type, then <code>deleteMin()<\/code> would return which entry?",C|the leftmost entry in the tree,the rightmost entry in the tree,the entry at the deepest level,the leftmost entry in the lowest level of the tre,,,,,,
pqReview,lab9,,What is the worst-case performance of <strong>heapsort<\/strong>?,C|O(n log n),O(log n),O(n),O(n<sup>2<\/sup>),,,,,,
adaptableHeap,lab9,,"To be efficient, entries in an <strong>adaptable priority queue<\/strong> must be ____.",C|location-aware,self sufficient,binary search tree nodes,tracked using a hash map,,,,,,
adaptableHeap,lab9,,"If location-aware entries are used, then the <strong>worst-case<\/strong> performance of <code>replaceKey(e,k)<\/code>, <code>replaceValue(e,v)<\/code>, and <code>remove(e)<\/code> are ___.",C|O(log n),O(n),O(1),O(n<sup>2<\/sup>),,,,,,
pqReview,lab9,,"Which <em>abstract data type<\/em> would be most appropriate to model the following scenario: <br>Customers call a customer service hotline and stay on hold an average of 48 minutes. Customers are serviced in order of their reward credit card status (platinum, gold, silver, bronze, and regular tier statuses) and the time their call to customer service was placed. Consumers can decide to hang up at any time if they do not wish to wait on hold.",C|adaptable priority queue,priority queue,map,list,,,,,,
setADT,lab10,,"Given the following sets:<br><code>S<sub>1<\/sub> = { C, O, M, P, U, T, E, R }<br>S<sub>2<\/sub> = { S, C, I, E, N }<br>S<sub>3<\/sub> = { E, N, G, I, R }<\/code><br>What is the result of <code>S<sub>1<\/sub>.addAll(S<sub>2<\/sub>)<\/code>?","C|<code>S<sub>1<\/sub> = { C, O, M, P, U, T, E, R, S, I, N }<\/code>","<code>S<sub>2<\/sub> = { C, O, M, P, U, T, E, R, S, I, N }<\/code>","<code>S<sub>3<\/sub> = { C, O, M, P, U, T, E, R, S, I, N }<\/code>","<code>S<sub>1<\/sub> = { O, M, P, U, T, R }<\/code>","<code>S<sub>2<\/sub> = { O, M, P, U, T, R }<\/code>","<code>S<sub>1<\/sub> = { C, O, M, P, U, T, E, R, S, C, I, E, N }<\/code>",,,,
setADT,lab10,,"Given the following sets:<br><code>S<sub>1<\/sub> = { C, O, M, P, U, T, E, R }<br>S<sub>2<\/sub> = { S, C, I, E, N }<br>S<sub>3<\/sub> = { E, N, G, I, R }<\/code><br>What is the result of <code>S<sub>2<\/sub>.retainAll(S<sub>3<\/sub>)<\/code>?","C|<code>S<sub>2<\/sub> = { I, E, N }<\/code>","<code>S<sub>3<\/sub> = { I, E, N }<\/code>","<code>S<sub>2<\/sub> = { S, C }<\/code>","<code>S<sub>3<\/sub> = { S, C }<\/code>","<code>S<sub>1<\/sub> = { C, E, R }<\/code>",,,,,
setADT,lab10,,"Given the following sets:<br><code>S<sub>1<\/sub> = { C, O, M, P, U, T, E, R }<br>S<sub>2<\/sub> = { S, C, I, E, N }<br>S<sub>3<\/sub> = { E, N, G, I, R }<\/code><br>What is the result of <code>S<sub>3<\/sub>.removeAll(S<sub>1<\/sub>)<\/code>?","C|<code>S<sub>3<\/sub> = { N, G, I }<\/code>","<code>S<sub>1<\/sub> = { N, G, I }<\/code>","<code>S<sub>3<\/sub> = { E, N, G, I, R, C, O, M, P, U, T }<\/code>","<code>S<sub>1<\/sub> = { E, N, G, I, R, C, O, M, P, U, T }<\/code>",,,,,,
upTree,lab10,upTreeCount,How many <em>up trees<\/em> are in this forest?,C|4,1,2,3,5,,,,,
upTree,lab10,upTreeCount,What is the <code>count<\/code> of <code>Position[lion]<\/code>?,C|3,1,2,4,5,,,,,
upTree,lab10,upTreeCount,What <em>position<\/em> will be the overall root after performing <code>Position[lion].union(Position[squirrel])<\/code>?,C|<code>Position[lion]<\/code>,<code>Position[squirrel]<\/code>,<code>Position[bird]<\/code>,<code>Position[mouse]<\/code>,<code>Position[lizard]<\/code>,,,,,
upTree,lab10,upTreeCount,What is the <code>count<\/code> of <code>Position[tiger]<\/code>?,C|undefined,0,1,2,3,4,,,,
upTree,lab10,upTreeCount,What <em>position<\/em> is returned by <code>forest.find(Position[tiger])<\/code>?,C|<code>Position[bird]<\/code>,<code>Position[tiger]<\/code>,<code>Position[cat]<\/code>,<code>Position[snake]<\/code>,,,,,,
upTree,lab10,upTreeCount,What is the <em>parent<\/em> of <code>Position[tiger]<\/code> after performing <code>forest.find(Position[tiger])<\/code>?,C|<code>Position[bird]<\/code>,<code>Position[tiger]<\/code>,<code>Position[cat]<\/code>,<code>Position[snake]<\/code>,,,,,,
treeSet,lab10,,The <em>worst-case<\/em> performance of <code>TreeSet<\/code> operations depends on ____.,C|the height of the tree data structure,the number of black nodes in the tree,the number of duplicate entries in the tree,the random numbers generated for compression,,,,,,
hashSet,lab10,,What is the <em>expected<\/em> performance of <code>addAll<\/code> if both sets are implemented as <code>HashSet<\/code>s?,C|O(n),O(1),O(log n),O(n log n),O(n<sup>2<\/sup>),,,,,
treeSet,lab10,,What is the <em>worst-case<\/em> performance of single <code>contains<\/code> operation if the set is implemented as a <code>TreeSet<\/code> that delegates to a splay tree?,C|O(n),O(1),O(log n),O(n log n),O(n<sup>2<\/sup>),,,,,
setReview,lab10,,What is the <em>expected<\/em> performance of <code>add<\/code> if the set is implemented as a <code>SkipListSet<\/code>?,C|O(log n),O(1),O(n),O(n log n),O(n<sup>2<\/sup>),,,,,
setReview,lab10,,Using ____ helps improve the efficiency of <em>up trees<\/em>.,C|path compression find and balanced union,imbalanced union,chained find and skewed union,pay-as-you-got find and perfect union,path compression find and pay-as-you-go union,,,,,
setReview,lab10,,What is the <em>maximum<\/em> height of an up tree that contains <em>n<\/em> nodes?,C|n-1,n,n+1,log n,log(n) - 1,log(n) + 1,,,,
treeSet,lab10,,What is the <em>worst-case<\/em> performance of single <code>contains<\/code> operation if the set is implemented as a <code>TreeSet<\/code> that delegates to an AVL tree?,O(n),O(1),C|O(log n),O(n log n),O(n<sup>2<\/sup>),,,,,
treeSet,lab10,,What is the <em>worst-case<\/em> performance of single <code>contains<\/code> operation if the set is implemented as a <code>TreeSet<\/code> that delegates to a red-black tree?,O(n),O(1),C|O(log n),O(n log n),O(n<sup>2<\/sup>),,,,,
hashSet,lab10,,What is the <em>worst-case<\/em> performance of <code>add<\/code> if the set is implemented as <code>HashSet<\/code> that delegates to a <em>separate-chaining hash map<\/em> that uses a <em>search table<\/em> as the secondary map?,C|O(n),O(1),O(log n),O(n log n),O(n<sup>2<\/sup>),,,,,
hashSet,lab10,,What is the <em>worst-case<\/em> performance of <code>remove<\/code> if the set is implemented as <code>HashSet<\/code> that delegates to a <em>separate-chaining hash map<\/em> that uses a <em>red-black tree<\/em> as the secondary map?,O(n),O(1),C|O(log n),O(n log n),O(n<sup>2<\/sup>),,,,,
graphReview,lab11,,Which graph data structure should you use to <em>guarantee<\/em> worst-case O(1) performance of <code>getEdge<\/code> if <code>getEdge<\/code> is the primary graph operation that will be used?,C|adjacency matrix,adjacency map,adjacency list,edge list,,,,,,
graphReview,lab11,,Which graph data structure(s) <em>guarantee<\/em> worst-case O(1) performance of <code>opposite<\/code>?,C|adjacency matrix,C|adjacency map,C|adjacency list,C|edge list,,,,,,
graphReview,lab11,,Which graph data structure(s) has the <em>worst<\/em> performance of <code>insertVertex<\/code> in the worst case?,C|adjacency matrix,adjacency map,adjacency list,edge list,,,,,,
graphReview,lab11,,Which of the following statements is/are true?,"C|For a simple connected graph, <em>m >= n-1<\/em>","C|For a simple complete undirected graph, <em>m = (n(n-1))/2<\/em>","C|For a simple complete directed graph, <em>m = n(n-1)<\/em>","For a simple connected graph, <em>n >= m-1<\/em>",,,,,,
graphReview,lab11,,Why are <em>positional lists<\/em> used in our graph data structures?,C|to enable O(1) worst-case removal of vertices/edges from the global lists of vertices/edges,index-based lists cannot store positions,to enable O(1) worst-case retrieval of the number of vertices/edges in the graph,to enable O(m) worst-case retrieval of an iterable collection of vertices in the graph,,,,,,
graphADT,lab11,animalGraph,Which of the following correctly describe(s) edges that exist in this graph?,"C|{cat, bird}, {horse, snake}, {lizard, mouse}","(cat, bird), (horse, snake), (lizard, mouse)","{cat}, {bird}, {horse}, {snake}, {lizard}, {mouse}","(cat), (bird), (horse), (snake), (lizard), (mouse)",,,,,,
graphADT,lab11,animalGraph,Which of the following correctly describe(s) what could be returned by <code>graph.outDegree(Vertex[snake])<\/code>?,C|4,3,2,1,5,,,,,
graphADT,lab11,animalGraph,Which of the following correctly describe(s) what could be returned by <code>graph.incomingEdges(Vertex[tiger])<\/code>?,"C|{bird, tiger}, {squirrel, tiger}","(bird, tiger), (squirrel, tiger)","{bird}, {squirrel}","(bird), (squirrel)",,,,,,
graphADT,lab11,animalGraph,"Which of the following correctly describe(s) what would be output by the following:<br>Edge x = <code>graph.getEdge(Vertex[lion],Vertex[cat])<br>print( graph.opposite(Vertex[cat],x) )<\/code>?",C|Vertex[lion],lion,Vertex[lizard],Vertex[bird],bird,,,,,
graphADT,lab11,animalGraph,What would be removed from the graph if we perform <code>graph.removeVertex(Vertex[mouse])<\/code>?,C|Vertex[mouse],"C|{mouse, snake}, {mouse, lizard}","(mouse, snake), (lizard, mouse)",Vertex[snake],Vertex[lizard],,,,,
graphAlgorithmsReview,lab12,,What type of algorithm would solve the following problem?<br><em>The IT staff needs to wire together all routers in EB2 with ethernet cable while spending the least amount of money.<\/em>,C|minimum spanning tree,shortest path,graph traversal,,,,,,,
graphAlgorithmsReview,lab12,,"What type of algorithm would solve the following problem?<br><em>After a recent storm, several roads in the area were washed out. Residents in one neighborhood need to determine if it is possible to successfully drive to the nearest safety shelter.<\/em>",minimum spanning tree,shortest path,C|graph traversal,,,,,,,
graphAlgorithmsReview,lab12,,Which of the following algorithms is most efficiently implemented using an <em>adjacency matrix<\/em>?,depth-first search,breadth-first search,Dijkstra's algorithm,C|Floyd-Warshall's algorithm,Prim-Jarnik's algorithm,Kruskal's algorithm,,,,
graphAlgorithmsReview,lab12,,What type of algorithm would solve the following problem?<br><em>A family is planning a cross-country trip and needs to find a series of hotel reservations that produces the overall cheapest lodging cost for the trip.<\/em>,minimum spanning tree,C|shortest path,graph traversal,,,,,,,
graphAlgorithmsReview,lab12,,Which of the following algorithms have <strong>worst-case<\/strong> runtime of O(n)?,C|depth-first search,C|breadth-first search,Dijkstra's algorithm,Floyd-Warshall's algorithm,Prim-Jarnik's algorithm,Kruskal's algorithm,,,,
graphAlgorithmsReview,lab12,,Which of the following algorithms have <strong>worst-case<\/strong> runtime of O(n<sup>3<\/sup>)?,depth-first search,breadth-first search,Dijkstra's algorithm,C|Floyd-Warshall's algorithm,Prim-Jarnik's algorithm,Kruskal's algorithm,,,,
graphAlgorithmsReview,lab12,,Which of the following algorithms is most efficiently implemented using an <em>adjacency map<\/em> or an <em>adjacency list<\/em>?,C|depth-first search,C|breadth-first search,C|Dijkstra's algorithm,Floyd-Warshall's algorithm,C|Prim-Jarnik's algorithm,,,,,
graphAlgorithmsReview,lab12,,Which of the following algorithms uses a <em>forest of disjoint sets<\/em>?,depth-first search,breadth-first search,Dijkstra's algorithm,Floyd-Warshall's algorithm,Prim-Jarnik's algorithm,C|Kruskal's algorithm,,,,
graphAlgorithmsReview,lab12,,Which of the following algorithms uses an <em>adaptable priority queue<\/em>?,depth-first search,breadth-first search,C|Dijkstra's algorithm,Floyd-Warshall's algorithm,C|Prim-Jarnik's algorithm,Kruskal's algorithm,,,,
graphTraversal,lab12,,Which graph traversal algorithm uses a <em>queue<\/em>?,depth-first search,C|breadth-first search,,,,,,,,
graphTraversal,lab12,animalGraph,"What are the first four discovery edges (in order of discovery) if we perform <strong>depth-first search<\/strong> started at vertex \""cat\"" and visit adjacenct vertices in alphabetical order?","C|{cat, bird}, {bird, lizard}, {lizard, horse}, {horse, snake}","(cat, bird), (bird, lizard), (lizard, horse), (horse, snake)","{cat, bird}, {cat, horse}, {cat, lion}, {cat, lizard}","(cat, bird), (cat, horse), (cat, lion), (cat, lizard)",,,,,,
graphTraversal,lab12,animalGraph,"What are the first two back edges (in order) if we perform <strong>depth-first search<\/strong> started at vertex \""cat\"" and visit adjacenct vertices in alphabetical order?","C|{cat, lizard}, {cat, horse}","{cat, bird}, {cat, horse}","{cat, lion}, {cat, bird}","{cat, lizard}, {lizard, mouse}",,,,,,
graphTraversal,lab12,animalGraph,"What are the first four discovery edges (in order of discovery) if we perform <strong>breadth-first search<\/strong> started at vertex \""cat\"" and visit adjacenct vertices in alphabetical order?","{cat, bird}, {bird, lizard}, {lizard, horse}, {horse, snake}","(cat, bird), (bird, lizard), (lizard, horse), (horse, snake)","C|{cat, bird}, {cat, horse}, {cat, lion}, {cat, lizard}","(cat, bird), (cat, horse), (cat, lion), (cat, lizard)",,,,,,
graphTraversal,lab12,animalGraph,"What are the first two cross edges (in order) if we perform <strong>breadth-first search<\/strong> started at vertex \""cat\"" and visit adjacenct vertices in alphabetical order?","{lizard, cat}, {horse, cat}","C|{bird, lizard}, {horse, lizard}","{bird, lizard}, {cat, horse}","{cat, lizard}, {lizard, mouse}",,,,,,
shortestPath,lab12,shortestPathTable,Is the graph (represented in the table) a directed graph or undirected graph?,C|undirected,directed,,,,,,,,
shortestPath,lab12,shortestPathTable,What weight does Vertex[lizard] have when Vertex[lion] is marked <code>found=true<\/code> when performing Dijkstra's algorithm starting at Vertex[bird]?,C|9,5,7,4,,,,,,
shortestPath,lab12,shortestPathTable,In what order are the vertices discovered (<code>found=true<\/code>) when performing Dijkstra's algorithm starting at Vertex[bird]?,"C|Vertex[bird], Vertex[snake], Vertex[cat], Vertex[lion], Vertex[lizard]","Vertex[bird], Vertex[snake], Vertex[lion], Vertex[cat], Vertex[lizard]","Vertex[bird], Vertex[lion], Vertex[snake], Vertex[cat], Vertex[lizard]","Vertex[bird], Vertex[lizard], Vertex[lion], Vertex[snake], Vertex[cat]",,,,,,
shortestPath,lab12,shortestPathTable,What are the values (from top to bottom) in the <em>parent<\/em> column after performing Dijkstra's algorithm starting at Vertex[bird]?,"C|null, Vertex[snake], Vertex[cat], Vertex[lion], Vertex[bird]","null, Vertex[snake], Vertex[lion], Vertex[cat], Vertex[lizard]","null, Vertex[lion], Vertex[snake], Vertex[cat], Vertex[lizard]","null, Vertex[lizard], Vertex[lion], Vertex[snake], Vertex[cat]",,,,,,
shortestPath,lab12,shortestPathTable,What are the values (from top to bottom) in the <em>weight<\/em> column after performing Dijkstra's algorithm starting at Vertex[bird]?,"C|0, 4, 5, 7, 3","0, 4, 3, 7, 5","0, 4, 5, 9 ,3","0, 9, 4, 3, 7","0, 9, 3, 5, 7",,,,,
shortestPath,lab12,floydGraph,What values appear in row <strong>C<\/strong> of the <strong>initial cost matrix<\/strong> when performing Floyd-Warshall's algorithm?,"C|6, 1, 0, 2, infinity","0, 5, 6 infinity, 3","6, 1, 0, 2, 0","6, 1, infinity, 2, 0","3, 0, infinity, 1, 0",,,,,
shortestPath,lab12,floydGraph,What values appear in row <strong>C<\/strong> of the <strong> cost matrix after k=1<\/strong> (where vertex A is represented as vertex 1) when performing Floyd-Warshall's algorithm?,"C|6, 1, 0, 2, 9","6, 1, 0, 2, infinity","6, 1, 0, 2, 0","6, 1, infinity, 2, 0","3, 0, infinity, 1, 0",,,,,
minimumSpanningTree,lab12,weightedAnimalGraph,What are the first <em>four<\/em> edges added to the minimum spanning tree if <em>Prim-Jarnik's algorithm<\/em> is performed starting at Vertex[tiger]?,"C|{bird, tiger}, {bird, snake}, {bird, cat}, {cat, lion}","{bird, tiger}, {bird, squirrel}, {bird, cat}, {bird, snake}","{bird, tiger}, {bird, snake}, {horse, snake}, {cat, horse}","{bird, tiger}, {bird, snake}, {lizard, snake}, {cat, horse}","{cat, lion}, {lizard, mouse}, {bird, snake}, {cat, lizard}",,,,,
minimumSpanningTree,lab12,weightedAnimalGraph,What are the first <em>four<\/em> edges added to the minimum spanning tree if <em>Kruskal's algorithm<\/em> is performed?,"C|{cat, lion}, {lizard, mouse}, {bird, snake}, {cat, lizard}","{bird, tiger}, {bird, snake}, {bird, cat}, {cat, lion}","{bird, tiger}, {bird, snake}, {horse, snake}, {cat, horse}","{cat, lion}, {cat, lizard}, {lizard, mouse}, {mouse, snake}",,,,,,
minimumSpanningTree,lab12,,"If a simple connected undirected graph has <em>17<\/em> vertices and <em>211<\/em> edges, how many edges are in the graph's <strong>minimum spanning tree<\/strong>?",C|16,211,210,18,not enough information is provided,,,,,
minimumSpanningTree,lab12,weightedAnimalGraph,What is the first edge ignored/discarded when performing <em>Kruskal's algorithm<\/em> on the graph?,"{bird, cat}","C|{bird, lizard}","{bird, snake}","{horse, lizard}","{squirrel, tiger}",,,,,
